                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.246,                0.82208,                 1.1518,                0.82835,                0.82812,                0.85359,                0.48806,                 1.4961,                0.92055,                 1.4107,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.2332,                 0.8054,                 1.1333,                0.77504,                 0.8125,                0.83823,                0.46293,                 1.5686,                0.97839,                 1.3714,               0.008317,               0.008317,               0.008317
                     36,                  1.252,                0.81165,                  1.142,                0.83067,                0.84314,                0.87462,                0.48381,                 1.4722,                0.87148,                 1.3841,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.2561,                 0.8099,                 1.1457,                0.77261,                  0.875,                0.84198,                 0.4651,                 1.4919,                0.88234,                  1.414,               0.008218,               0.008218,               0.008218
                     38,                 1.2533,                0.81934,                 1.1386,                0.85144,                0.92188,                0.92114,                0.49506,                 1.4796,                 0.8503,                 1.4022,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.2445,                0.81674,                 1.1267,                0.88708,                0.84375,                0.91192,                0.52219,                  1.429,                0.85484,                 1.3496,               0.008119,               0.008119,               0.008119
                     40,                 1.2567,                0.79474,                 1.1399,                0.88425,                0.89062,                0.91928,                 0.5177,                 1.4705,                0.86531,                 1.3139,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.2277,                0.79319,                 1.1208,                 0.8541,                0.78125,                 0.8593,                0.47199,                 1.5063,                0.95237,                 1.3853,                0.00802,                0.00802,                0.00802
                     42,                 1.2281,                0.79482,                 1.1136,                0.84704,                0.86533,                0.88066,                0.52179,                 1.4339,                0.86294,                  1.356,              0.0079705,              0.0079705,              0.0079705
                     43,                  1.214,                0.77461,                   1.13,                0.78969,                0.88011,                 0.8848,                0.51549,                 1.4505,                0.86347,                 1.3881,               0.007921,               0.007921,               0.007921
                     44,                 1.2088,                0.77519,                 1.1169,                0.83967,                0.81835,                0.88103,                0.47511,                 1.4843,                0.84946,                 1.3673,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1774,                0.76811,                 1.0964,                0.79035,                0.84375,                0.82381,                0.46467,                 1.4109,                0.91439,                 1.3372,               0.007822,               0.007822,               0.007822
                     46,                  1.176,                0.75396,                  1.111,                0.80877,                0.82812,                0.88557,                 0.5074,                 1.4609,                0.79753,                  1.367,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.2045,                0.75946,                  1.111,                0.84479,                  0.875,                0.88768,                0.48921,                 1.5628,                 0.8002,                 1.3992,               0.007723,               0.007723,               0.007723
                     48,                 1.1713,                0.74508,                  1.106,                0.94323,                0.85938,                0.90085,                0.48895,                 1.5468,                 0.8296,                 1.4828,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1726,                0.72457,                 1.1173,                0.83061,                0.78125,                0.82621,                 0.4545,                 1.5735,                0.86425,                 1.4565,               0.007624,               0.007624,               0.007624
                     50,                 1.1846,                0.74735,                 1.1037,                0.86384,                 0.8125,                0.85965,                0.45052,                 1.5817,                0.86541,                 1.4157,              0.0075745,              0.0075745,              0.0075745
